PdfType: replica
Format: lhagrid1
---
  1.00000000e-05  1.01159111e-05  1.02331658e-05  1.03517796e-05  1.04717682e-05  1.05931476e-05  1.07159340e-05  1.08401436e-05  1.09657929e-05  1.10928986e-05  1.12214777e-05  1.13515471e-05  1.14831241e-05  1.16162263e-05  1.17508713e-05  1.18870770e-05  1.20248614e-05  1.21642429e-05  1.23052400e-05  1.24478715e-05  1.25921561e-05  1.27381132e-05  1.28857621e-05  1.30351224e-05  1.31862140e-05  1.33390569e-05  1.34936714e-05  1.36500781e-05  1.38082977e-05  1.39683512e-05  1.41302599e-05  1.42940453e-05  1.44597292e-05  1.46273336e-05  1.47968806e-05  1.49683929e-05  1.51418933e-05  1.53174046e-05  1.54949504e-05  1.56745541e-05  1.58562396e-05  1.60400311e-05  1.62259529e-05  1.64140297e-05  1.66042866e-05  1.67967487e-05  1.69914417e-05  1.71883914e-05  1.73876240e-05  1.75891659e-05  1.77930439e-05  1.79992851e-05  1.82079168e-05  1.84189668e-05  1.86324631e-05  1.88484341e-05  1.90669084e-05  1.92879151e-05  1.95114835e-05  1.97376433e-05  1.99664245e-05  2.01978576e-05  2.04319732e-05  2.06688025e-05  2.09083769e-05  2.11507282e-05  2.13958887e-05  2.16438909e-05  2.18947676e-05  2.21485523e-05  2.24052787e-05  2.26649808e-05  2.29276931e-05  2.31934506e-05  2.34622885e-05  2.37342425e-05  2.40093488e-05  2.42876438e-05  2.45691646e-05  2.48539486e-05  2.51420335e-05  2.54334576e-05  2.57282597e-05  2.60264788e-05  2.63281547e-05  2.66333273e-05  2.69420371e-05  2.72543253e-05  2.75702333e-05  2.78898029e-05  2.82130768e-05  2.85400977e-05  2.88709092e-05  2.92055551e-05  2.95440800e-05  2.98865287e-05  3.02329468e-05  3.05833803e-05  3.09378757e-05  3.12964801e-05  3.16592411e-05  3.20262069e-05  3.23974263e-05  3.27729485e-05  3.31528234e-05  3.35371015e-05  3.39258338e-05  3.43190720e-05  3.47168682e-05  3.51192753e-05  3.55263468e-05  3.59381366e-05  3.63546996e-05  3.67760910e-05  3.72023668e-05  3.76335836e-05  3.80697987e-05  3.85110700e-05  3.89574562e-05  3.94090164e-05  3.98658107e-05  4.03278998e-05  4.07953450e-05  4.12682085e-05  4.17465529e-05  4.22304419e-05  4.27199397e-05  4.32151113e-05  4.37160225e-05  4.42227398e-05  4.47353305e-05  4.52538628e-05  4.57784054e-05  4.63090280e-05  4.68458012e-05  4.73887961e-05  4.79380850e-05  4.84937407e-05  4.90558371e-05  4.96244488e-05  5.01996513e-05  5.07815211e-05  5.13701354e-05  5.19655724e-05  5.25679112e-05  5.31772318e-05  5.37936150e-05  5.44171429e-05  5.50478981e-05  5.56859644e-05  5.63314267e-05  5.69843706e-05  5.76448828e-05  5.83130511e-05  5.89889643e-05  5.96727120e-05  6.03643851e-05  6.10640754e-05  6.17718760e-05  6.24878807e-05  6.32121848e-05  6.39448843e-05  6.46860766e-05  6.54358602e-05  6.61943346e-05  6.69616005e-05  6.77377600e-05  6.85229160e-05  6.93171728e-05  7.01206359e-05  7.09334120e-05  7.17556092e-05  7.25873365e-05  7.34287045e-05  7.42798248e-05  7.51408106e-05  7.60117762e-05  7.68928372e-05  7.77841107e-05  7.86857151e-05  7.95977700e-05  8.05203967e-05  8.14537177e-05  8.23978568e-05  8.33529397e-05  8.43190929e-05  8.52964450e-05  8.62851257e-05  8.72852662e-05  8.82969996e-05  8.93204600e-05  9.03557835e-05  9.14031075e-05  9.24625712e-05  9.35343152e-05  9.46184819e-05  9.57152154e-05  9.68246612e-05  9.79469667e-05  9.90822810e-05  1.00230755e-04  1.01392541e-04  1.02567793e-04  1.03756668e-04  1.04959323e-04  1.06175918e-04  1.07406615e-04  1.08651577e-04  1.09910970e-04  1.11184960e-04  1.12473718e-04  1.13777413e-04  1.15096220e-04  1.16430313e-04  1.17779870e-04  1.19145070e-04  1.20526094e-04  1.21923125e-04  1.23336350e-04  1.24765955e-04  1.26212131e-04  1.27675070e-04  1.29154967e-04  1.30652016e-04  1.32166418e-04  1.33698374e-04  1.35248087e-04  1.36815763e-04  1.38401610e-04  1.40005838e-04  1.41628662e-04  1.43270295e-04  1.44930957e-04  1.46610868e-04  1.48310251e-04  1.50029332e-04  1.51768339e-04  1.53527503e-04  1.55307057e-04  1.57107239e-04  1.58928287e-04  1.60770442e-04  1.62633950e-04  1.64519059e-04  1.66426018e-04  1.68355080e-04  1.70306503e-04  1.72280545e-04  1.74277468e-04  1.76297538e-04  1.78341022e-04  1.80408193e-04  1.82499324e-04  1.84614695e-04  1.86754584e-04  1.88919278e-04  1.91109062e-04  1.93324229e-04  1.95565072e-04  1.97831888e-04  2.00124980e-04  2.02444651e-04  2.04791210e-04  2.07164968e-04  2.09566240e-04  2.11995346e-04  2.14452608e-04  2.16938352e-04  2.19452909e-04  2.21996612e-04  2.24569800e-04  2.27172813e-04  2.29805999e-04  2.32469706e-04  2.35164288e-04  2.37890104e-04  2.40647515e-04  2.43436887e-04  2.46258592e-04  2.49113003e-04  2.52000499e-04  2.54921465e-04  2.57876289e-04  2.60865362e-04  2.63889081e-04  2.66947849e-04  2.70042072e-04  2.73172160e-04  2.76338529e-04  2.79541600e-04  2.82781798e-04  2.86059554e-04  2.89375302e-04  2.92729484e-04  2.96122544e-04  2.99554933e-04  3.03027108e-04  3.06539530e-04  3.10092664e-04  3.13686982e-04  3.17322963e-04  3.21001090e-04  3.24721849e-04  3.28485737e-04  3.32293252e-04  3.36144900e-04  3.40041193e-04  3.43982649e-04  3.47969790e-04  3.52003147e-04  3.56083255e-04  3.60210656e-04  3.64385898e-04  3.68609536e-04  3.72882131e-04  3.77204249e-04  3.81576466e-04  3.85999362e-04  3.90473524e-04  3.94999546e-04  3.99578030e-04  4.04209584e-04  4.08894823e-04  4.13634368e-04  4.18428851e-04  4.23278907e-04  4.28185180e-04  4.33148322e-04  4.38168993e-04  4.43247859e-04  4.48385595e-04  4.53582883e-04  4.58840413e-04  4.64158883e-04  4.69539001e-04  4.74981480e-04  4.80487044e-04  4.86056423e-04  4.91690358e-04  4.97389596e-04  5.03154895e-04  5.08987019e-04  5.14886745e-04  5.20854855e-04  5.26892142e-04  5.32999408e-04  5.39177464e-04  5.45427131e-04  5.51749238e-04  5.58144625e-04  5.64614142e-04  5.71158648e-04  5.77779012e-04  5.84476113e-04  5.91250841e-04  5.98104096e-04  6.05036788e-04  6.12049837e-04  6.19144176e-04  6.26320745e-04  6.33580499e-04  6.40924402e-04  6.48353429e-04  6.55868566e-04  6.63470812e-04  6.71161177e-04  6.78940681e-04  6.86810359e-04  6.94771255e-04  7.02824426e-04  7.10970943e-04  7.19211887e-04  7.27548353e-04  7.35981448e-04  7.44512291e-04  7.53142017e-04  7.61871770e-04  7.70702711e-04  7.79636013e-04  7.88672862e-04  7.97814457e-04  8.07062014e-04  8.16416760e-04  8.25879939e-04  8.35452806e-04  8.45136633e-04  8.54932707e-04  8.64842328e-04  8.74866812e-04  8.85007491e-04  8.95265713e-04  9.05642838e-04  9.16140246e-04  9.26759330e-04  9.37501502e-04  9.48368187e-04  9.59360829e-04  9.70480888e-04  9.81729841e-04  9.93109181e-04  1.00462042e-03  1.01626509e-03  1.02804473e-03  1.03996091e-03  1.05201522e-03  1.06420924e-03  1.07654461e-03  1.08902296e-03  1.10164595e-03  1.11441525e-03  1.12733256e-03  1.14039960e-03  1.15361810e-03  1.16698982e-03  1.18051653e-03  1.19420003e-03  1.20804213e-03  1.22204469e-03  1.23620954e-03  1.25053859e-03  1.26503372e-03  1.27969687e-03  1.29452998e-03  1.30953502e-03  1.32471399e-03  1.34006890e-03  1.35560179e-03  1.37131472e-03  1.38720978e-03  1.40328908e-03  1.41955477e-03  1.43600898e-03  1.45265393e-03  1.46949180e-03  1.48652484e-03  1.50375532e-03  1.52118552e-03  1.53881775e-03  1.55665436e-03  1.57469771e-03  1.59295021e-03  1.61141428e-03  1.63009236e-03  1.64898694e-03  1.66810054e-03  1.68743568e-03  1.70699493e-03  1.72678090e-03  1.74679622e-03  1.76704353e-03  1.78752553e-03  1.80824493e-03  1.82920450e-03  1.85040702e-03  1.87185529e-03  1.89355218e-03  1.91550056e-03  1.93770334e-03  1.96016347e-03  1.98288395e-03  2.00586778e-03  2.02911802e-03  2.05263775e-03  2.07643011e-03  2.10049824e-03  2.12484535e-03  2.14947467e-03  2.17438948e-03  2.19959307e-03  2.22508880e-03  2.25088005e-03  2.27697026e-03  2.30336287e-03  2.33006141e-03  2.35706941e-03  2.38439047e-03  2.41202821e-03  2.43998630e-03  2.46826845e-03  2.49687843e-03  2.52582003e-03  2.55509709e-03  2.58471351e-03  2.61467321e-03  2.64498018e-03  2.67563844e-03  2.70665207e-03  2.73802518e-03  2.76976194e-03  2.80186656e-03  2.83434331e-03  2.86719650e-03  2.90043049e-03  2.93404971e-03  2.96805861e-03  3.00246171e-03  3.03726358e-03  3.07246884e-03  3.10808217e-03  3.14410830e-03  3.18055202e-03  3.21741815e-03  3.25471161e-03  3.29243733e-03  3.33060034e-03  3.36920571e-03  3.40825855e-03  3.44776405e-03  3.48772747e-03  3.52815412e-03  3.56904935e-03  3.61041860e-03  3.65226736e-03  3.69460121e-03  3.73742574e-03  3.78074666e-03  3.82456972e-03  3.86890074e-03  3.91374560e-03  3.95911027e-03  4.00500076e-03  4.05142317e-03  4.09838367e-03  4.14588850e-03  4.19394396e-03  4.24255643e-03  4.29173238e-03  4.34147833e-03  4.39180089e-03  4.44270675e-03  4.49420266e-03  4.54629547e-03  4.59899209e-03  4.65229952e-03  4.70622485e-03  4.76077523e-03  4.81595791e-03  4.87178022e-03  4.92824957e-03  4.98537346e-03  5.04315949e-03  5.10161531e-03  5.16074871e-03  5.22056753e-03  5.28107971e-03  5.34229330e-03  5.40421642e-03  5.46685730e-03  5.53022426e-03  5.59432571e-03  5.65917016e-03  5.72476624e-03  5.79112265e-03  5.85824820e-03  5.92615181e-03  5.99484250e-03  6.06432940e-03  6.13462172e-03  6.20572881e-03  6.27766011e-03  6.35042517e-03  6.42403366e-03  6.49849535e-03  6.57382014e-03  6.65001803e-03  6.72709914e-03  6.80507370e-03  6.88395207e-03  6.96374473e-03  7.04446228e-03  7.12611543e-03  7.20871503e-03  7.29227206e-03  7.37679760e-03  7.46230289e-03  7.54879928e-03  7.63629826e-03  7.72481145e-03  7.81435061e-03  7.90492762e-03  7.99655453e-03  8.08924349e-03  8.18300682e-03  8.27785697e-03  8.37380654e-03  8.47086827e-03  8.56905505e-03  8.66837993e-03  8.76885609e-03  8.87049689e-03  8.97331581e-03  9.07732653e-03  9.18254284e-03  9.28897872e-03  9.39664831e-03  9.50556592e-03  9.61574600e-03  9.72720319e-03  9.83995230e-03  9.95400829e-03  1.00693863e-02  1.01861017e-02  1.03041699e-02  1.04236067e-02  1.05444279e-02  1.06666496e-02  1.07902879e-02  1.09153594e-02  1.10418805e-02  1.11698682e-02  1.12993394e-02  1.14303113e-02  1.15628013e-02  1.16968270e-02  1.18324063e-02  1.19695570e-02  1.21082975e-02  1.22486461e-02  1.23906216e-02  1.25342427e-02  1.26795285e-02  1.28264983e-02  1.29751717e-02  1.31255684e-02  1.32777083e-02  1.34316117e-02  1.35872990e-02  1.37447909e-02  1.39041083e-02  1.40652724e-02  1.42283046e-02  1.43932264e-02  1.45600600e-02  1.47288272e-02  1.48995507e-02  1.50722531e-02  1.52469573e-02  1.54236865e-02  1.56024641e-02  1.57833141e-02  1.59662602e-02  1.61513269e-02  1.63385388e-02  1.65279206e-02  1.67194976e-02  1.69132952e-02  1.71093391e-02  1.73076553e-02  1.75082703e-02  1.77112106e-02  1.79165033e-02  1.81241755e-02  1.83342548e-02  1.85467692e-02  1.87617469e-02  1.89792164e-02  1.91992067e-02  1.94217468e-02  1.96468665e-02  1.98745955e-02  2.01049642e-02  2.03380031e-02  2.05737431e-02  2.08122157e-02  2.10534524e-02  2.12974854e-02  2.15443469e-02  2.17940698e-02  2.20466874e-02  2.23022330e-02  2.25607407e-02  2.28222447e-02  2.30867799e-02  2.33543814e-02  2.36250847e-02  2.38989257e-02  2.41759408e-02  2.44561668e-02  2.47396410e-02  2.50264010e-02  2.53164848e-02  2.56099310e-02  2.59067786e-02  2.62070670e-02  2.65108360e-02  2.68181261e-02  2.71289780e-02  2.74434330e-02  2.77615329e-02  2.80833200e-02  2.84088369e-02  2.87381269e-02  2.90712338e-02  2.94082017e-02  2.97490755e-02  3.00939003e-02  3.04427221e-02  3.07955871e-02  3.11525422e-02  3.15136348e-02  3.18789129e-02  3.22484250e-02  3.26222201e-02  3.30003479e-02  3.33828586e-02  3.37698031e-02  3.41612327e-02  3.45571994e-02  3.49577557e-02  3.53629550e-02  3.57728510e-02  3.61874981e-02  3.66069515e-02  3.70312668e-02  3.74605003e-02  3.78947092e-02  3.83339510e-02  3.87782841e-02  3.92277676e-02  3.96824610e-02  4.01424249e-02  4.06077203e-02  4.10784089e-02  4.15545533e-02  4.20362168e-02  4.25234633e-02  4.30163576e-02  4.35149650e-02  4.40193519e-02  4.45295851e-02  4.50457325e-02  4.55678627e-02  4.60960449e-02  4.66303493e-02  4.71708469e-02  4.77176095e-02  4.82707097e-02  4.88302209e-02  4.93962174e-02  4.99687745e-02  5.05479682e-02  5.11338754e-02  5.17265739e-02  5.23261424e-02  5.29326606e-02  5.35462090e-02  5.41668691e-02  5.47947234e-02  5.54298552e-02  5.60723488e-02  5.67222897e-02  5.73797641e-02  5.80448594e-02  5.87176639e-02  5.93982669e-02  6.00867589e-02  6.07832313e-02  6.14877765e-02  6.22004883e-02  6.29214611e-02  6.36507908e-02  6.43885743e-02  6.51349095e-02  6.58898955e-02  6.66536327e-02  6.74262224e-02  6.82077673e-02  6.89983712e-02  6.97981391e-02  7.06071771e-02  7.14255929e-02  7.22534949e-02  7.30909933e-02  7.39381992e-02  7.47952252e-02  7.56621850e-02  7.65391939e-02  7.74263683e-02  7.83238260e-02  7.92316862e-02  8.01500696e-02  8.10790981e-02  8.20188950e-02  8.29695852e-02  8.39312950e-02  8.49041520e-02  8.58882856e-02  8.68838264e-02  8.78909065e-02  8.89096599e-02  8.99402217e-02  9.09827289e-02  9.20373200e-02  9.31041349e-02  9.41833153e-02  9.52750047e-02  9.63793480e-02  9.74964918e-02  9.86265846e-02  9.97697764e-02  1.00926219e-01  1.02096066e-01  1.03279473e-01  1.04476597e-01  1.05687597e-01  1.06912634e-01  1.08151870e-01  1.09405471e-01  1.10673602e-01  1.11956432e-01  1.13254132e-01  1.14566873e-01  1.15894830e-01  1.17238180e-01  1.18597101e-01  1.19971774e-01  1.21362380e-01  1.22769105e-01  1.24192135e-01  1.25631660e-01  1.27087871e-01  1.28560961e-01  1.30051125e-01  1.31558562e-01  1.33083472e-01  1.34626058e-01  1.36186524e-01  1.37765077e-01  1.39361927e-01  1.40977287e-01  1.42611371e-01  1.44264395e-01  1.45936580e-01  1.47628147e-01  1.49339322e-01  1.51070330e-01  1.52821404e-01  1.54592774e-01  1.56384676e-01  1.58197348e-01  1.60031031e-01  1.61885969e-01  1.63762407e-01  1.65660596e-01  1.67580786e-01  1.69523234e-01  1.71488197e-01  1.73475936e-01  1.75486715e-01  1.77520801e-01  1.79578465e-01  1.81659979e-01  1.83765620e-01  1.85895668e-01  1.88050406e-01  1.90230119e-01  1.92435098e-01  1.94665634e-01  1.96922026e-01  1.99204571e-01  2.01513573e-01  2.03849340e-01  2.06212180e-01  2.08602409e-01  2.11020343e-01  2.13466303e-01  2.15940615e-01  2.18443607e-01  2.20975611e-01  2.23536965e-01  2.26128007e-01  2.28749082e-01  2.31400538e-01  2.34082728e-01  2.36796007e-01  2.39540736e-01  2.42317279e-01  2.45126006e-01  2.47967289e-01  2.50841506e-01  2.53749038e-01  2.56690272e-01  2.59665597e-01  2.62675410e-01  2.65720111e-01  2.68800102e-01  2.71915794e-01  2.75067601e-01  2.78255940e-01  2.81481236e-01  2.84743917e-01  2.88044415e-01  2.91383170e-01  2.94760626e-01  2.98177229e-01  3.01633435e-01  3.05129702e-01  3.08666494e-01  3.12244282e-01  3.15863541e-01  3.19524751e-01  3.23228398e-01  3.26974974e-01  3.30764978e-01  3.34598912e-01  3.38477286e-01  3.42400614e-01  3.46369418e-01  3.50384225e-01  3.54445567e-01  3.58553986e-01  3.62710025e-01  3.66914238e-01  3.71167182e-01  3.75469422e-01  3.79821531e-01  3.84224085e-01  3.88677669e-01  3.93182876e-01  3.97740302e-01  4.02350555e-01  4.07014245e-01  4.11731993e-01  4.16504425e-01  4.21332174e-01  4.26215883e-01  4.31156199e-01  4.36153779e-01  4.41209286e-01  4.46323393e-01  4.51496777e-01  4.56730127e-01  4.62024137e-01  4.67379511e-01  4.72796959e-01  4.78277202e-01  4.83820966e-01  4.89428990e-01  4.95102016e-01  5.00840799e-01  5.06646101e-01  5.12518693e-01  5.18459354e-01  5.24468875e-01  5.30548053e-01  5.36697695e-01  5.42918618e-01  5.49211648e-01  5.55577622e-01  5.62017385e-01  5.68531791e-01  5.75121707e-01  5.81788007e-01  5.88531578e-01  5.95353313e-01  6.02254120e-01  6.09234915e-01  6.16296626e-01  6.23440189e-01  6.30666554e-01  6.37976681e-01  6.45371540e-01  6.52852114e-01  6.60419396e-01  6.68074392e-01  6.75818117e-01  6.83651600e-01  6.91575883e-01  6.99592017e-01  7.07701066e-01  7.15904109e-01  7.24202233e-01  7.32596543e-01  7.41088152e-01  7.49678187e-01  7.58367791e-01  7.67158118e-01  7.76050334e-01  7.85045620e-01  7.94145172e-01  8.03350198e-01  8.12661920e-01  8.22081576e-01  8.31610415e-01  8.41249705e-01  8.51000725e-01  8.60864770e-01  8.70843150e-01  8.80937190e-01  8.91148232e-01  9.01477631e-01  9.11926760e-01  9.22497005e-01  9.33189772e-01  9.44006479e-01  9.54948564e-01  9.66017480e-01  9.77214697e-01  9.88541702e-01  1.00000000e+00
0.1E+001 0.1E+007
-14 14
0.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 0.00000000000000e+00
